"","pick_house","country","state","age","fandoms_partof","books_longingly","activism_mean","consider_activist_3_TEXT","consider_wactivist_4_TEXT","why_consideractivist","whynot_activist","whatis_wactivist","whatmore_wactivist","whystay_hpa","howlearn_hpa","hpa_moreof","female"
"240","Ravenclaw","USA","Nevada",26,"Disney, Whedonverse","I Hate Everyone But You by Allison Raskin and Gaby Dunn","Activism means being vocal about what you think is right and working hard to have your behavior match your ideals. ","","","Because I don't shy away from trying to educate people on things I feel are harmful.","","","","They make me proud of our community and myself for trying to change a seemingly broken world","Con or Event","Animal rights","Not Female"
"241","Hufflepuff","USA","Massachusetts",29,"Star Wars, Batman, Diane Duane's books, literally anything Tolkien, Dirk Gently's Holistic Detective Agency, Sherlock Holmes, Marvel, Star Trek, various anime, the Matthew Swift books, Tamora Pierce, the Rivers of London series ","Turtles All the Way Down by John Green","Standing up for things you believe in, or causes that interest you and you feel passionate about. Listening to people whose lives are affected by causes and issues, and helping them. Working towards the common good, or to do good for people in the future. ","","","I have been to events, and protests, and planning events. I try to stay on top of news, and of things I can do to help people. ","","I'm not sure. I thought it was someone in HPA who works towards causes.","I'm not sure, maybe a badge ;)","I love the enthusiasm, the link to fandom, and the volunteers I get to talk to. I feel like I'm making a difference, and doing something worthwhile. ","Social Media","Maybe more multimedia and interactive things to draw people in?","Female"
"242","Hufflepuff","USA","California",23,"Marvel MU, Harry Potter, Pacific Rim, Brooklyn 99, Band of Brothers (yes, truly there's a fandom), and so many more that aren't coming to mind","Whipping Girl","It means putting the voices of those discriminated against forward. Helping those that need it, whether it's something tangible, standing with them, or listening to them,","","","I've always volunteered my whole life. It's just turned into something that I realized I love and that pushed me towards activism.","","","I honestly don't know","I love it. I love the work I do and I love the friendships I've created.","Nerdfighteria","","Not Female"
"243","Ravenclaw","USA","California",25,"","Girl at War by Sara Novic","working towards social equality","","","I keep myself educated on current issues and take concrete steps to work towards more equality.","","","","accessibility, friendships, and feeling like I'm making a real difference","Con or Event","","Female"
"244","Gryffindor","USA","Vermont",24,"Oh goodness I will probably forget some...Harry Potter of course, Whovian, Browncoat, Marvel, DC, Avatar the last airbender, Miss Fisher Murder Mysteries, Leverage, RWBY, Critical Role...okay yea I'm totally missing the majority.","The Guernsey Literary and Potato Peel Pie Society -- Highly recommend to everyone!! It's so wonderful!","Using the privileged and resources you have to continually change the world around you, so it is better for all.","","","I may not be the most involved person, but I support and help when I can. Even if it's just challenging the issues around me in day to day life.","","","Probably going to GLA or other events and joining a chapter near me.","It helps push back against the overwhelming dread these times sometimes bring, also the people are wonderful.","Nerdfighteria","","Female"
"245","Ravenclaw","USA","California",28,"Doctor Who, Hunger Games, video games (Overwatch, Kingdom Hearts, Undertale, Pokemon Go, etc).","The Dark Tower series by Stephen King.","To make the world a better place by using the privilege and power you have to help others.","","","Because I work to make the world better by volunteering for organizations that need help and who help others.","","","Wearing my Wizard Activist hoodie?","Because it's home.","Con or Event","Animal activism","Not Female"
"246","Hufflepuff","USA","Massachusetts",19,"Star Wars, Star Trek, Nerdfighteria, Check, Please!, Avatar: The Last Airbender, Marvel","Turtles All The Way Down","actively using my time and skills to make a difference in an area I'm passionate about","","","I act on my passions and work towards making the changes I want to see","","","Being even more involved - maybe with more in person wizard activist events","it makes me feel more connected to activism and methods of being an activist, as well as providing me with a network of fellow activists","Other","everything (I know, not helpful)","Not Female"
"247","Ravenclaw","USA","Oregon",32,"okay i assume harry potter doesn't need to be said. wizard rock! stranger things, dr who, x-files, star trek","shadow cabinet by maureen johnson (a reread)","an ACTIVE commitment to deconstructing all oppressions and creating a socially just world","","","it's what i think about every day, what's on my twitter feed, what i give money to, how i spend time","","","if i went to gla honestly","","Friend","","Not Female"
"248","Hufflepuff","USA","District of Columbia",23,"Welcome to Nightvale","Nimona","Working to make the world a better place","","","","","","If the HPA did more timely, significant national campains","It is a way that I can use my passion and talents for something useful.","Nerdfighteria","","Female"
"249","Hufflepuff","USA","District of Columbia",27,"Buffy, BBC Merlin, Queer as Folk (UK)","The Mothers","actively working to improve the lives of other people by fighting against/working against systematic injustice","no but i'd like to be? i don't do much political protest","","","","","","friends and i feel like i'm making the world a little better (even if i don't feel like an activist!)","Con or Event","","Female"
"250","Slytherin","USA","Massachusetts",30,"","Game of Thrones","","","","","","","","",NA,"","Female"
"251","Ravenclaw","USA","New York",29,"Harry Potter, Game of Thrones, Marvel, Adventure Time","Akata Witch","","","","","","","","",NA,"","Female"
"252","Gryffindor","USA","Texas",31,"Supernatural, Doctor Who, Gilmore Girls, Jane Austen, Once Upon a Time, Sherlock, Disney","A Thousand White Women","Tackling injustice and promoting kindness","I'm working on it","I'm a background supporter","","","","participating in more in-person activities","I believe in the work we do, I beleive that we are making a postive impact and providing a safe space for other wizard activists to speak out. ","Nerdfighteria","healthcare ","Female"
"253","Ravenclaw","USA","District of Columbia",25,"Game of Thrones","The Moral Tribes","Speaking your mind and not backing down from what you believe. ","","","I didn't until I was in the middle of holding a banner and someone said ""The protesters are approaching."" It kind of shook me. But then, yeah, I'm protesting. I'm protesting because I want a better life for everyone, even if it takes time out of my day. We all deserve to be treated and respected as equals, and I will be loud and proud about my beliefs to serve that goal.","","","If I was confident in talking about my activities with the HPA to others. ","I really loved my time in my university chapter, and I had some free time to kill. Plus, now, getting back into a local chapter (slowly), it's nice to have a community. ","Chapter","","Not Female"
"254","Ravenclaw","USA","Massachusetts",33,"Disney parks, holy trinity,,","idk","Helping out the world","","","I am","","Someone in an HPA chapter","Being in a chapter","","Con or Event","","Female"
"255","Hufflepuff","USA","District of Columbia",29,"","","Working together to dismantle unjust and wasteful systems and replace with systems that protect people and the planet. ","","","","","","","","Social Media","","Female"
"256","Gryffindor","USA","Indiana",54,"","The Bible","Being involved. Helping where and when needed. Getting the word out.","","","","Not really sure of what an activist does","Not really sure","Not really sure","I just follow HPA on social media","Social Media","I don't really know the HPA","Female"
